Continent,Country,Sex,Y2019,Y2018,Y2017,Y2016,Y2015,Y2014,Y2013,Y2012,Y2011,Y2010,Y2009
Americas,Antigua and Barbuda,Male,0,0,0,0,0,0,0,0,0.15,0.28,0
Americas,Barbados,Female,0.16,0.16,0.16,0.16,0.16,0.16,0,0.25,0.22,0.3,0.23
Americas,Barbados,Both sexes,0.31,0.31,0.32,0.33,0.31,0.32,0.1,0.21,0.64,1.22,1.13
Americas,Antigua and Barbuda,Both sexes,0.32,0.32,0,0.49,0.42,0.44,0,0,0.16,0.13,0
Americas,Barbados,Male,0.49,0.5,0.51,0.53,0.5,0.52,0.25,0.18,1.12,2.24,2.16
Americas,Grenada,Male,0.53,0,0.78,0.88,0.88,0,1.78,2.77,3.18,1.72,1.37
Americas,Antigua and Barbuda,Female,0.6,0.61,0,0.93,0.79,0.83,0,0,0.17,0,0
Americas,Grenada,Both sexes,0.64,0.35,0.67,0.91,0.62,0.45,1.12,1.64,1.57,0.73,0.52
Americas,Saint Vincent and the Grenadines,Female,0.67,0.68,0,0.77,0.86,0.54,1,3.92,1.94,0.5,0.61
Americas,Venezuela (Bolivarian Republic of),Female,0.69,0.71,0.76,0.8,0.79,0.67,0.83,0.96,0.91,1.06,1.08
Americas,Grenada,Female,0.73,0.71,0.56,0.86,0.27,0.83,0.5,0.51,0,0,0
Eastern Mediterranean,Kuwait,Female,0.74,0.72,0.71,0.71,0.72,0.79,0.8,0.87,0.91,0.98,1.08
Eastern Mediterranean,Syrian Arab Republic,Female,0.75,0.77,0.76,0.73,0.77,0.81,0.8,0.75,0.7,0.71,0.68
Western Pacific,Brunei Darussalam,Female,0.78,0.99,0.97,0.68,0.63,1.54,1.48,1.2,0,0.56,1.13
South-East Asia,Maldives,Female,0.85,0.85,0.85,0.84,0.85,0.87,0.89,0.93,0.96,1.01,1.05
Eastern Mediterranean,Jordan,Female,0.93,0.93,0.9,0.91,0.9,0.93,0.94,0.97,1,1.03,1.08
Americas,Honduras,Female,0.98,0.99,1.02,1.01,1.05,1.03,1.02,1,1,1.03,1.03
Americas,Panama,Female,0.98,1.02,0.93,1.03,1.08,1.11,0.66,0.92,1.16,1.1,1.49
Americas,Jamaica,Female,1,0.99,0.99,1,1.01,0.97,0.91,0.92,0.91,0.87,0.87
Americas,Saint Vincent and the Grenadines,Both sexes,1.01,1.03,0,0.67,3.31,1.37,3.74,5.31,5.4,2.88,2.69
Europe,Armenia,Female,1.02,0.7,0.9,1.67,2.56,2.9,3.72,3.19,3,2.89,1.41
Europe,Cyprus,Female,1.06,1.35,0.91,1.09,1.84,2.58,1.13,0.66,0.78,1.87,1.2
South-East Asia,Myanmar,Female,1.09,1.11,1.15,1.22,1.26,1.32,1.36,1.43,1.54,1.65,1.79
Eastern Mediterranean,Oman,Female,1.12,1.13,1.2,1.23,1.28,1.29,1.31,1.35,1.46,1.6,1.53
Africa,Sao Tome and Principe,Female,1.15,1.16,1.18,1.17,1.19,1.24,1.25,1.33,1.22,1.27,1.32
South-East Asia,Indonesia,Female,1.15,1.17,1.19,1.22,1.24,1.27,1.33,1.38,1.45,1.49,1.53
Europe,Turkey,Female,1.19,1.19,1.23,1.26,1.26,1.25,1.2,1.19,1.21,1.32,1.33
Americas,Bahamas,Female,1.23,1.19,1.02,1.05,1.11,1,1.06,1.17,1.26,1.25,1.24
Western Pacific,Philippines,Female,1.32,1.31,1.29,1.28,1.27,1.17,1.47,1.47,1.77,1.53,1.52
Africa,Seychelles,Female,1.33,1.36,1.38,1.37,1.4,1.43,1.42,1.46,1.44,1.47,1.5
Americas,Saint Vincent and the Grenadines,Male,1.33,1.37,0,0.57,5.71,2.2,6.39,6.56,8.67,5.17,4.69
Americas,Peru,Female,1.38,1.39,1.42,1.41,1.46,1.56,1.67,1.77,1.86,1.96,1.93
Europe,Greece,Female,1.45,1.45,1.53,1.28,1.54,1.67,1.63,1.38,1.32,0.6,0.83
Americas,Saint Lucia,Female,1.47,1.49,1.5,1.47,1.6,1.65,1.63,1.7,1.54,1.63,1.53
Europe,Azerbaijan,Female,1.48,1.49,1.53,1.54,1.56,1.59,1.63,1.75,1.8,1.87,1.92
South-East Asia,Bangladesh,Female,1.66,1.65,1.64,1.72,1.81,1.84,1.98,2.19,2.27,2.47,2.61
